building,service,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,hangar,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,bunker,ar,Building Type,fill,https://wiki.openstreetmap.org/w/images/e/ee/StreetComplete_quest_building.svg,,,,
building,house,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,residential,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,apartments,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,detached,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,terrace,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,dormitory,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,semi,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,semidetached_house,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,bungalow,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,school,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,civic,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,college,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,university,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,public,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,hospital,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,kindergarten,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,transportation,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,train_station,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,hotel,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,retail,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,commercial,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,office,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,warehouse,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,industrial,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,manufacture,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,parking,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,farm,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,farm_auxiliary,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building,barn,ar,Building Levels,query,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building:levels,,ar,Building Levels,query (exclusion),https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
height,,ar,Building Levels,query (exclusion),https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building:height,,ar,Building Levels,query (exclusion),https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building:levels,,ar,Building Levels,fill,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
roof:levels,,ar,Building Levels,fill,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
building:part,,ar,Building Levels,wording,https://wiki.openstreetmap.org/w/images/2/27/StreetComplete_quest_buildinglevels.svg,,,,
public_transport,platform,n,Bus Stop Shelter,query,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
bus,yes,n,Bus Stop Shelter,query,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
trolleybus,yes,n,Bus Stop Shelter,query,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
tram,yes,n,Bus Stop Shelter,query,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
highway,bus_stop,n,Bus Stop Shelter,query,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
public_transport,stop_position,n,Bus Stop Shelter,query (exclusion),https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
shelter,,n,Bus Stop Shelter,query (exclusion),https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
shelter,yes,n,Bus Stop Shelter,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
shelter,no,n,Bus Stop Shelter,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
public_transport,platform,n,Bus Stop Name,query,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
bus,yes,n,Bus Stop Name,query,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
trolleybus,yes,n,Bus Stop Name,query,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
tram,yes,n,Bus Stop Name,query,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
highway,bus_stop,n,Bus Stop Name,query,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
public_transport,stop_position,n,Bus Stop Name,query (exclusion),https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name,,n,Bus Stop Name,query (exclusion),https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
noname,yes,n,Bus Stop Name,query (exclusion),https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
noname,yes,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:aa,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:adx,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:af,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ak,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:am,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:any,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ar,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:as,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ay,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:az,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:bci,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:be,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:bem,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ber,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:bg,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:bi,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:bm,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:bn,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:bo,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:br,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:brx,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:bs,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:bzj,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ca,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ceb,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ch,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:chk,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:crs,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:cs,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:cy,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:da,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:de,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:den,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:dgr,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
